i,j
20.0,0.0
23.0,0.0
258.0,0.0
326.0,0.0
752.0,0.0
861.0,0.0
96.0,1.0
207.0,1.0
255.0,1.0
262.0,1.0
316.0,1.0
21.0,2.0
51.0,2.0
260.0,2.0
879.0,2.0
136.0,3.0
183.0,3.0
264.0,3.0
445.0,3.0
110.0,4.0
323.0,4.0
765.0,4.0
713.0,5.0
6.0,0.0
483.0,7.0
545.0,7.0
63.0,8.0
92.0,8.0
126.0,8.0
400.0,8.0
501.0,8.0
845.0,8.0
24.0,9.0
255.0,9.0
354.0,9.0
666.0,9.0
912.0,9.0
964.0,9.0
408.0,10.0
556.0,10.0
679.0,10.0
716.0,10.0
725.0,10.0
991.0,10.0
11.0,4.0
165.0,11.0
192.0,11.0
562.0,11.0
611.0,11.0
647.0,11.0
993.0,11.0
588.0,12.0
718.0,12.0
835.0,12.0
40.0,13.0
146.0,13.0
294.0,13.0
700.0,13.0
31.0,14.0
215.0,14.0
233.0,14.0
327.0,14.0
551.0,14.0
787.0,14.0
20.0,15.0
241.0,15.0
455.0,15.0
711.0,15.0
781.0,15.0
960.0,15.0
283.0,16.0
304.0,16.0
536.0,16.0
890.0,16.0
49.0,17.0
386.0,17.0
890.0,17.0
417.0,18.0
731.0,18.0
942.0,18.0
49.0,19.0
106.0,19.0
183.0,19.0
219.0,19.0
419.0,19.0
453.0,19.0
635.0,19.0
653.0,19.0
658.0,19.0
942.0,19.0
128.0,20.0
179.0,20.0
274.0,20.0
304.0,20.0
305.0,20.0
123.0,21.0
197.0,21.0
481.0,21.0
741.0,21.0
786.0,21.0
793.0,21.0
35.0,22.0
128.0,22.0
338.0,22.0
811.0,22.0
43.0,23.0
117.0,23.0
168.0,23.0
603.0,23.0
729.0,23.0
879.0,23.0
915.0,23.0
168.0,24.0
317.0,24.0
569.0,24.0
685.0,24.0
25.0,15.0
163.0,25.0
192.0,25.0
196.0,25.0
459.0,25.0
549.0,25.0
852.0,25.0
936.0,25.0
109.0,26.0
135.0,26.0
250.0,26.0
664.0,26.0
841.0,26.0
29.0,27.0
106.0,27.0
297.0,27.0
541.0,27.0
572.0,27.0
721.0,27.0
753.0,27.0
28.0,16.0
217.0,28.0
680.0,28.0
900.0,28.0
973.0,28.0
499.0,29.0
690.0,29.0
956.0,29.0
34.0,30.0
36.0,30.0
425.0,30.0
511.0,30.0
586.0,30.0
713.0,30.0
232.0,31.0
363.0,31.0
538.0,31.0
834.0,31.0
983.0,31.0
207.0,32.0
214.0,32.0
330.0,32.0
345.0,32.0
534.0,32.0
693.0,32.0
790.0,32.0
54.0,33.0
136.0,33.0
141.0,33.0
778.0,33.0
865.0,33.0
877.0,33.0
34.0,18.0
40.0,34.0
214.0,34.0
689.0,34.0
734.0,34.0
325.0,35.0
416.0,35.0
729.0,35.0
779.0,35.0
870.0,35.0
999.0,35.0
72.0,36.0
288.0,36.0
370.0,36.0
611.0,36.0
762.0,36.0
833.0,36.0
903.0,36.0
988.0,36.0
78.0,37.0
294.0,37.0
472.0,37.0
596.0,37.0
260.0,38.0
349.0,38.0
637.0,38.0
847.0,38.0
301.0,39.0
348.0,39.0
580.0,39.0
693.0,39.0
707.0,39.0
861.0,39.0
104.0,40.0
217.0,40.0
259.0,40.0
262.0,40.0
269.0,40.0
751.0,40.0
829.0,40.0
971.0,40.0
999.0,40.0
193.0,41.0
801.0,41.0
55.0,42.0
102.0,42.0
144.0,42.0
167.0,42.0
299.0,42.0
315.0,42.0
595.0,42.0
706.0,42.0
951.0,42.0
986.0,42.0
59.0,43.0
88.0,43.0
492.0,43.0
860.0,43.0
120.0,44.0
223.0,44.0
269.0,44.0
334.0,44.0
381.0,44.0
441.0,44.0
590.0,44.0
769.0,44.0
882.0,44.0
123.0,45.0
427.0,45.0
628.0,45.0
793.0,45.0
198.0,46.0
231.0,46.0
278.0,46.0
580.0,46.0
650.0,46.0
706.0,46.0
918.0,46.0
194.0,47.0
286.0,47.0
461.0,47.0
486.0,47.0
491.0,47.0
507.0,47.0
169.0,48.0
252.0,48.0
279.0,48.0
436.0,48.0
651.0,48.0
858.0,48.0
49.0,46.0
126.0,49.0
189.0,49.0
309.0,49.0
743.0,49.0
958.0,49.0
215.0,50.0
257.0,50.0
401.0,50.0
446.0,50.0
535.0,50.0
596.0,50.0
759.0,50.0
807.0,50.0
150.0,51.0
196.0,51.0
476.0,51.0
